カテゴリ,日本語ラベル,Wikidata Q,Wikidata 検証 URL,Wikidata API レスポンス（label/description verbatim 抜粋）,Schema.org type URI,Schema.org 検証 URL,Google Places API primary type,Place API ソース URL,検証日時 UTC,検証結果
業種,学習塾,Q118547,https://www.wikidata.org/wiki/Special:EntityData/Q118547.json,"label.en=Cram school / desc.en=specialized schools that train their students to meet particular goals",https://schema.org/EducationalOrganization,https://schema.org/EducationalOrganization,school,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,✅ 一致（wbsearchentities verbatim 取得）
地域,沼津市,Q241037,https://www.wikidata.org/wiki/Special:EntityData/Q241037.json,"label.ja=沼津市 / label.en=Numazu / desc.ja=静岡県の市 / desc.en=city in Shizuoka Prefecture, Japan",—,—,—,—,2026-05-01T00:00:00Z,✅ 一致
地域,三島市,Q653478,https://www.wikidata.org/wiki/Special:EntityData/Q653478.json,"label.ja=三島市 / label.en=Mishima / desc.ja=静岡県の市 / desc.en=city in Shizuoka Prefecture, Japan",—,—,—,—,2026-05-01T00:00:00Z,✅ 一致
地域,富士市,Q328613,https://www.wikidata.org/wiki/Special:EntityData/Q328613.json,"label.ja=富士市 / label.en=Fuji / desc.ja=静岡県の市 / desc.en=city in Shizuoka Prefecture, Japan",—,—,—,—,2026-05-01T00:00:00Z,✅ 一致
地域,富士宮市,Q496072,https://www.wikidata.org/wiki/Special:EntityData/Q496072.json,"label.ja=富士宮市 / label.en=Fujinomiya / desc.ja=静岡県の市 / desc.en=city in Shizuoka Prefecture, Japan",—,—,—,—,2026-05-01T00:00:00Z,✅ 一致
地域,裾野市,Q847577,https://www.wikidata.org/wiki/Special:EntityData/Q847577.json,"label.ja=裾野市 / label.en=Susono / desc.ja=静岡県の市 / desc.en=city in Shizuoka Prefecture, Japan",—,—,—,—,2026-05-01T00:00:00Z,✅ 一致
地域,長泉町,Q1204459,https://www.wikidata.org/wiki/Special:EntityData/Q1204459.json,"label.ja=長泉町 / label.en=Nagaizumi / desc.ja=静岡県駿東郡の町 / desc.en=town in Suntō district, Shizuoka prefecture, Japan",—,—,—,—,2026-05-01T00:00:00Z,✅ 一致
地域,静岡市清水区,Q79385,https://www.wikidata.org/wiki/Special:EntityData/Q79385.json,"label.ja=清水区 / label.en=Shimizu-ku / desc.ja=静岡県静岡市の行政区 / desc.en=ward in Chūbu, Japan",—,—,—,—,2026-05-01T00:00:00Z,⚠ 検証 ✅ 一致 / Phase 0.5 都市削除（v1.15 / 2026-05-01 代表確定）/ 履歴保存
地域,静岡市,Q174691,https://www.wikidata.org/wiki/Special:EntityData/Q174691.json,"label.ja=静岡市 / label.en=Shizuoka / desc.en=capital city of Shizuoka Prefecture, Japan",—,—,—,—,2026-05-01T00:00:00Z,✅ 一致（Phase 0.5 v1.15 新規追加 / wbsearchentities verbatim 取得）
地域,浜松市,Q185125,https://www.wikidata.org/wiki/Special:EntityData/Q185125.json,"label.ja=浜松市 / label.en=Hamamatsu / desc.en=Japanese city",—,—,—,—,2026-05-01T00:00:00Z,✅ 一致（Phase 0.5 v1.15 新規追加 / wbsearchentities verbatim 取得）
# HSCEL §3.3 事実確認証跡
# 検証件数: 11 業種 + 9 市町（沼津/三島/富士/富士宮/裾野/長泉/清水区/静岡市/浜松市）= 20 件
# WebFetch 実行回数: 34（初回） + 6（v1.15 追記: 静岡市/浜松市 wbsearchentities 2 + ① 文書 Q 検証 4）= 40
# 推測コピペ件数: 0
# 誤り検出件数: 業種 5 件（Q1147505 税理士→Q688576 / Q35749 不動産→Q519076 / Q43164 美容院→Q1195245 / Q286 美容院副候補→Q1195245 / Q955824 クリニック→Q1774898）
# Phase 0.5 v1.15 都市差替: 富士宮市/裾野市/長泉町/静岡市清水区 → Phase 0.5 削除（履歴保存）/ 静岡市 Q174691 + 浜松市 Q185125 新規追加
#
# 🚨 ① 文書 Q 誤り検出（v1.15 / 2026-05-01）— ⑤ Wikidata 12 件誤り事案と同種の訓練データ汚染:
# - INSTRUCTION v1.15 §1 + SCAN-CITIES v2 §6 掲載 Q が以下 5 件で本 CSV と乖離
#   1. 税理士 Q188666 → 実際は「接着 / adhesion（物理）」/ 正規 Q688576
#   2. 不動産 Q11660 → 実際は「人工知能 / artificial intelligence」/ 正規 Q519076
#   3. 飲食店 Q189210 → 実際は「ウェブアプリケーション / web application」/ 正規 Q11707
#   4. 美容院 Q193563 → 実際は「フランス国立図書館 / Bibliothèque nationale de France」/ 正規 Q1195245
#   5. 宿泊施設 Q11707 → 実際は「restaurant（飲食店）」/ 正規 Q27686
# - HSCEL §3.3 mandatory に従い、本 CSV verbatim 検証結果が正本。① 文書側に ⑤ Wikidata 事案と同種の訓練データ汚染が混入
# - ④ は scanner.py 実装で本 CSV 正規 Q を採用（① 文書 Q を採用しない）
# - ① 文書差戻し / 訂正は ① 自身の HSCEL §7 自己拘束に基づく代表判断事項
#
# 検証実施: 2026-05-01 / ④ scanner（HSCEL v1.1 §3.3 mandatory）
